Date,Close,125MA,Spread
2014-12-18,1897.5,1997.23104,-99.73104
2014-12-19,1929.98,1996.73464,-66.75464
2014-12-22,1943.12,1996.53504,-53.41504
2014-12-23,1939.02,1996.24784,-57.22784
2014-12-24,1946.61,1995.86592,-49.25592
2014-12-26,1948.16,1995.59704,-47.43704
2014-12-29,1927.86,1995.05952,-67.19952
2014-12-30,1915.59,1994.47616,-78.88616
2015-01-02,1926.44,1993.87,-67.43
2015-01-05,1915.75,1993.204,-77.454
2015-01-06,1882.45,1992.14136,-109.69136
2015-01-07,1883.83,1991.12424,-107.29424
2015-01-08,1904.65,1990.28416,-85.63416
2015-01-09,1924.7,1989.6408,-64.9408
2015-01-12,1920.95,1988.95512,-68.00512
2015-01-13,1917.14,1988.28824,-71.14824
2015-01-14,1913.66,1987.5748,-73.9148
2015-01-15,1914.14,1986.978,-72.838
2015-01-16,1888.13,1986.132,-98.002
2015-01-19,1902.62,1985.2512,-82.6312
2015-01-20,1918.31,1984.48984,-66.17984
2015-01-21,1921.23,1983.69248,-62.46248
2015-01-22,1920.82,1982.90368,-62.08368
2015-01-23,1936.09,1982.2444,-46.1544
2015-01-26,1935.68,1981.4984,-45.8184
2015-01-27,1952.4,1980.89104,-28.49104
2015-01-28,1961.58,1980.37072,-18.79072
2015-01-29,1951.02,1979.70808,-28.68808
2015-01-30,1949.26,1978.91168,-29.65168
2015-02-02,1952.68,1978.03736,-25.35736
2015-02-03,1951.96,1976.99216,-25.03216
2015-02-04,1962.79,1976.08552,-13.29552
2015-02-05,1952.84,1975.12344,-22.28344
2015-02-06,1955.52,1974.12424,-18.60424
2015-02-09,1947,1973.17016,-26.17016
2015-02-10,1935.86,1972.1712,-36.3112
2015-02-11,1945.7,1971.30072,-25.60072
2015-02-12,1941.63,1970.58496,-28.95496
2015-02-13,1957.5,1969.93,-12.43
2015-02-16,1958.23,1969.26408,-11.03408
2015-02-17,1961.45,1968.4568,-7.0068
2015-02-23,1968.39,1967.69816,0.69184
2015-02-24,1976.12,1967.08208,9.03792
2015-02-25,1990.47,1966.43672,24.03328
2015-02-26,1993.08,1965.79912,27.28088
2015-02-27,1985.8,1965.33184,20.46816
2015-03-02,1996.81,1964.85272,31.95728
2015-03-03,2001.38,1964.37664,37.00336
2015-03-04,1998.29,1963.81856,34.47144
2015-03-05,1998.38,1963.20616,35.17384
2015-03-06,2012.94,1962.7036,50.2364
2015-03-09,1992.82,1962.09784,30.72216
2015-03-10,1984.77,1961.43312,23.33688
2015-03-11,1980.83,1960.86712,19.96288
